"Ativo","Ano 0","Ano 1","Ano 2","Ano 3","Ano 4","Ano 5","Atual"
"Renda Fixa","","","","","","",""
"RF - Curto P.","2.98%","2.86%","4.66%","4.74%","2.58%","1.88%","2.00%"
"RF - Longo P.","3.11%","2.90%","2.66%","4.74%","5.22%","3.01%","6.00%"
"Ações","","","","","","",""
"Banco Midax","3.46%","3.53%","-9.06%","14.44%","14.90%","9.20%","3.50%"
"Lojas Magazine","4.52%","9.09%","-9.11%","12.23%","4.84%","15.67%","1.00%"
"Doutor Who","4.72%","8.38%","-5.33%","1.76%","-4.86%","15.95%","4.50%"
"Consule Saúde","4.41%","-1.34%","-4.52%","22.51%","-7.13%","16.08%","4.00%"
"Spilberg Máquinas","3.35%","10.87%","-14.91%","16.60%","20.36%","-2.64%","3.00%"
"Petróleo Nacional","5.02%","12.43%","11.86%","1.92%","20.84%","13.63%","5.00%"
"Montanhas Minérios","4.06%","-2.65%","13.65%","32.94%","26.31%","12.16%","-2.00%"
"Índice Bolsa","4.64%","6.18%","-1.77%","15.55%","11.38%","12.21%","3.00%"
"Outros Ativos","","","","","","",""
"ETF Ouro","3.19%","2.09%","23.50%","9.59%","1.13%","18.51%","3.00%"
"Futuro Dólar (Comprado)","-0.39%","-1.54%","48.81%","17.38%","-7.43%","-32.75%","0.00%"
"Futuro Dólar (Vendido)","0.39%","1.54%","-48.81%","-17.38%","7.43%","32.75%","0.00%"
